mass_kg,grade_deg,steady_force_N,wheel_output_torque_Nm,minimum_uniform_mu,wheel_output_torque_Nm_at_accel_0p1
15.0,28.5,77.94636099859615,2.7281226349508656,0.6029556996384369,2.780622634950865
15.0,28.75,78.49130485582282,2.7471956699537987,0.6086187866266675,2.799695669953799
15.0,29.0,79.03475435174782,2.766216402311174,0.6143090514527689,2.818716402311174
15.0,29.25,79.57669913987608,2.7851844698956634,0.6200269084740768,2.837684469895663
15.0,29.5,80.11712890236011,2.804099511582604,0.6257727781877702,2.856599511582604
15.0,29.75,80.65603335019615,2.8229611672568655,0.6315470873652222,2.8754611672568657
15.0,30.0,81.19340222342039,2.841769077819714,0.6373502691896258,2.8942690778197133
15.0,30.25,81.72922529130406,2.8605228851956426,0.6431827633969807,2.9130228851956423
15.0,30.5,82.26349235254833,2.879222232339192,0.649045016420551,2.9317222323391916
15.0,30.75,82.79619323547848,2.897866763241747,0.6549374815388933,2.9503667632417465
15.0,31.0,83.32731779823757,2.9164561229383152,0.6608606190275603,2.9689561229383155
15.0,31.25,83.85685592897951,2.9349899575142833,0.6668148963145961,2.987489957514283
15.0,31.5,84.38479754606163,2.9534679141121574,0.672800788139932,3.0059679141121576
15.0,31.75,84.91113259823658,2.9718896409382807,0.6788187767188065,3.02438964093828
15.0,32.0,85.43585106484356,2.990254787269525,0.6848693519093274,3.042754787269525
15.0,32.25,85.9589429559994,3.0085630034599795,0.6909530113843061,3.0610630034599793
15.0,32.5,86.48039831278852,3.0268139409475987,0.6970702608074932,3.0793139409475985
15.0,32.75,87.0002072074526,3.0450072522608416,0.7032216140143517,3.0975072522608413
15.0,33.0,87.51835974357952,3.0631425910252834,0.7094075931975106,3.115642591025283
15.0,33.25,88.03484605629193,3.0812196119702175,0.7156287290970378,3.1337196119702173
15.0,33.5,88.54965631243492,3.0992379709352225,0.7218855611956916,3.1517379709352227
15.0,33.75,89.0627807107633,3.117197324876716,0.7281786379192989,3.1696973248767155
15.0,34.0,89.5742094821282,3.135097331874487,0.7345085168424266,3.1875973318744872
15.0,34.25,90.08393288966298,3.1529376511382043,0.7408757648995099,3.205437651138204
15.0,34.5,90.59194122896875,3.1707179430139067,0.7472809586016131,3.223217943013906
15.0,34.75,91.09822482829901,3.1884378689904658,0.7537246842590017,3.240937868990465
15.0,35.0,91.60277404874375,3.206097091706032,0.7602075382097098,3.258597091706031
24.0,0.0,14.121575999999997,0.49425515999999997,0.06,0.5782551599999999
24.0,0.25,15.148388300708625,0.530193590524802,0.06436335082070156,0.6141935905248018
24.0,0.5,16.17491219793994,0.5661219269278979,0.06872686779075879,0.6501219269278978
24.0,0.75,17.20112814815863,0.6020394851855522,0.07309071708483508,0.6860394851855522
24.0,1.0,18.227016613692285,0.6379455814792301,0.07745506492821758,0.72194558147923
24.0,1.25,19.252558063103283,0.6738395322086149,0.08182007762214948,0.7578395322086151
